,crps,calibration_score,beta,rho
0,26.490015789473684,0.4765350877192982,0.04,0.18000000000000005
0,5.277987719298245,0.23530701754385966,0.005,0.19
0,6.794652631578947,0.3537280701754386,0.01,0.19
0,9.647959649122807,0.406359649122807,0.015,0.19
0,13.215235087719297,0.45460526315789473,0.02,0.19
0,16.977373684210527,0.4853070175438597,0.025,0.19
0,20.879954385964915,0.494078947368421,0.030000000000000002,0.19
0,24.701391228070175,0.48530701754385963,0.034999999999999996,0.19
0,29.19241403508772,0.4984649122807018,0.04,0.19
0,5.3707473684210525,0.23530701754385966,0.005,0.2
0,7.401849122807017,0.36249999999999993,0.01,0.2
0,10.676080701754387,0.4195175438596491,0.015,0.2
0,14.650687719298245,0.47653508771929826,0.02,0.2
0,18.781301754385964,0.48530701754385963,0.025,0.2
0,23.1446649122807,0.48969298245614035,0.030000000000000002,0.2
0,27.283029824561407,0.49407894736842106,0.034999999999999996,0.2
0,31.866794736842106,0.5028508771929825,0.04,0.2
