,crps,calibration_score,beta,rho
0,5.669464912280701,0.20460526315789473,0.02,0.19
0,6.575056140350877,0.24407894736842106,0.025,0.19
0,8.032638596491227,0.3274122807017544,0.030000000000000002,0.19
0,9.636740350877192,0.37127192982456136,0.034999999999999996,0.19
0,11.7697350877193,0.42390350877192984,0.04,0.19
0,6.8759,0.26162280701754387,0.005,0.2
0,5.631947368421053,0.20899122807017545,0.01,0.2
0,5.368173684210527,0.19144736842105264,0.015,0.2
0,5.906336842105263,0.22214912280701754,0.02,0.2
0,7.13949298245614,0.2879385964912281,0.025,0.2
0,8.719012280701754,0.3449561403508772,0.030000000000000002,0.2
0,10.846077192982456,0.43267543859649127,0.034999999999999996,0.2
0,12.803159649122806,0.4589912280701754,0.04,0.2
